time,time_us,eA,eB,eC
11,1100000,-1,0,1
12,1200000,-1,0,0
13,1300000,-1,0,0
14,1400000,0,-1,0
15,1500000,0,0,0
16,1600000,0,0,0
17,1700000,0,0,0
18,1800000,-1,0,0
19,1900000,0,0,0
20,2000000,0,0,0
21,2100000,0,-1,0
22,2200000,0,-1,0
23,2300000,0,-1,0
24,2400000,0,-1,0
25,2500000,-1,-1,0
26,2600000,-1,0,0
27,2700000,0,0,0
28,2800000,-1,0,0
29,2900000,-1,0,0
30,3000000,-1,0,0
31,3100000,-1,0,0
32,3200000,-1,0,0
33,3300000,-1,0,1
34,3400000,-1,0,0
35,3500000,-1,0,0
36,3600000,-1,-1,1
37,3700000,-1,-1,0
38,3800000,-1,-1,1
39,3900000,-1,-1,1
40,4000000,-1,0,0
41,4100000,0,-1,0
42,4200000,0,0,0
43,4300000,0,0,0
44,4400000,0,0,0
45,4500000,0,0,0
46,4600000,0,0,0
47,4700000,0,0,0
48,4800000,0,0,0
49,4900000,0,0,0
50,5000000,-1,0,0
51,5100000,-1,0,0
52,5200000,0,-1,0
53,5300000,0,-1,0
54,5400000,0,0,0
55,5500000,0,0,0
56,5600000,-1,0,0
57,5700000,-1,0,0
58,5800000,0,0,0
59,5900000,-1,0,0
60,6000000,-1,0,0
61,6100000,0,0,0
62,6200000,0,0,-1
63,6300000,-1,0,0
64,6400000,-1,-1,0
65,6500000,-1,-1,0
66,6600000,-1,0,0
67,6700000,0,-1,0
68,6800000,0,-1,0
69,6900000,-1,-1,0
70,7000000,0,-1,0
71,7100000,-1,-1,0
72,7200000,-1,-1,0
73,7300000,-1,0,0
74,7400000,-1,0,0
75,7500000,-1,0,0
76,7600000,-1,0,0
77,7700000,-1,0,0
78,7800000,-2,-1,1
79,7900000,-1,0,0
80,8000000,-1,-1,0
81,8100000,-1,-1,1
82,8200000,-1,0,0
83,8300000,-1,0,0
84,8400000,-1,0,0
85,8500000,-1,0,0
86,8600000,-1,0,0
87,8700000,-1,0,0
88,8800000,-1,0,0
89,8900000,-1,0,0
90,9000000,-1,0,0
91,9100000,-1,-1,1
92,9200000,-1,-1,0
93,9300000,-1,0,0
94,9400000,-1,-1,0
95,9500000,-1,0,0
96,9600000,-1,-1,0
97,9700000,-1,0,0
98,9800000,-1,0,0
99,9900000,-1,0,0
100,10000000,-1,-1,0
101,10100000,-1,-1,0
102,10200000,-1,-1,0
103,10300000,-1,-1,0
104,10400000,-1,-1,0
105,10500000,-1,-1,1
106,10600000,0,-1,0
107,10700000,-1,-1,0
108,10800000,-1,-1,0
109,10900000,0,-1,0
110,11000000,0,-1,0
111,11100000,-1,-1,0
112,11200000,-1,-1,0
113,11300000,-1,-1,0
114,11400000,-1,-1,0
115,11500000,-1,-1,0
116,11600000,-1,-1,0
117,11700000,-1,-1,0
118,11800000,-1,-1,0
119,11900000,-1,-1,0
120,12000000,-1,-1,0
121,12100000,0,-1,0
122,12200000,-1,0,0
123,12300000,-1,-1,0
124,12400000,0,-1,0
125,12500000,-1,0,0
126,12600000,-1,0,0
127,12700000,-1,0,0
128,12800000,-1,0,0
129,12900000,-1,0,0
130,13000000,-1,-1,0
131,13100000,0,-1,0
132,13200000,-1,-1,0
133,13300000,0,0,1
134,13400000,6,10,1
135,13500000,14,21,1
136,13600000,9,15,1
137,13700000,17,26,1
138,13800000,21,32,2
139,13900000,20,31,2
140,14000000,11,16,1
141,14100000,25,38,3
142,14200000,38,56,3
143,14300000,51,74,4
144,14400000,54,79,5
145,14500000,54,79,5
146,14600000,64,94,5
147,14700000,78,115,6
148,14800000,96,139,8
149,14900000,110,160,9
150,15000000,116,171,9
151,15100000,128,188,10
152,15200000,138,201,11
153,15300000,151,221,12
154,15400000,161,236,13
155,15500000,159,233,13
156,15600000,167,242,13
157,15700000,168,246,14
158,15800000,173,254,14
159,15900000,171,251,14
160,16000000,169,248,14
161,16100000,165,241,13
162,16200000,168,243,13
163,16300000,172,252,13
164,16400000,176,257,13
165,16500000,173,252,13
166,16600000,179,260,14
167,16700000,179,261,14
168,16800000,181,264,14
169,16900000,181,262,14
170,17000000,188,274,15
171,17100000,193,282,15
172,17200000,194,283,16
173,17300000,197,288,15
174,17400000,203,295,16
175,17500000,206,300,16
176,17600000,210,304,16
177,17700000,214,312,16
178,17800000,214,311,16
179,17900000,213,308,16
180,18000000,214,310,16
181,18100000,216,314,16
182,18200000,213,311,16
183,18300000,215,313,16
184,18400000,216,313,16
185,18500000,216,314,17
186,18600000,215,314,17
187,18700000,215,314,17
188,18800000,216,314,17
189,18900000,216,313,17
190,19000000,216,313,17
191,19100000,216,314,17
192,19200000,216,314,17
193,19300000,216,314,17
194,19400000,216,314,17
195,19500000,215,314,17
